@RELATION sound

@ATTRIBUTE mfcc NUMERIC
@ATTRIBUTE class {classical, jazz, hiphop, rock}


@DATA
-1.2168033523499882,rock
-1.0806358403749483,rock
0.19905174809612222,rock
0.0388783249972698,rock
0.03159178168489231,rock
-0.48964067357779406,rock
-0.25701258449545644,rock
-0.3048357099069194,rock
-0.43105811261793686,rock
-0.4103380429117344,rock
-0.3821971961558953,rock
-0.19723672639789566,rock
-0.01578345363238062,rock
-0.43076271066811195,rock
0.05491567001298236,rock
0.32540641542423365,rock
-0.2289404207156127,rock
-0.7189625788504923,rock
0.39232551178230324,rock
-0.23349249552808898,rock
0.48650879496641836,rock
0.2109875530792582,rock
0.5400443956816993,rock
-0.17773443027090055,rock
0.20188691610418064,rock
-0.051207502200025484,rock
-0.027707775240533836,rock
0.044588951269162985,rock
-0.2578726519432909,rock
-0.16842179630863643,rock
0.06436025286164346,rock
-0.6638818455001244,rock
-0.07406348925087218,rock
-0.06733457321935746,rock
-0.04807518125007357,rock
-0.28146846376978146,rock
0.01858385438567417,rock
0.14252790877788346,rock
-0.9720182998591838,rock
0.35471662123993764,rock
-1.111116797766889,rock
-0.14247029754209906,rock
0.3569778444783006,rock
-0.07868158957925882,rock
-0.5212169786453222,rock
-0.8250837765532524,rock
-0.2575931169073974,rock
-0.5438020026867822,rock
-0.9329786305429753,rock
-0.7705055677940147,rock
-0.48980276049165333,rock
-0.20428186701463244,rock
-1.6195787310231315,rock
-0.4007334393951095,rock
-0.28776375055571135,rock
-1.2667779142361533,rock
-1.097417754215905,rock
0.19480865792537208,rock
0.1889782250907229,rock
0.15692768735158474,rock
0.19701474842821584,rock
-0.1566170656235621,rock
-0.05313380955691939,rock
-0.008484372409320992,rock
-0.026333495675999023,rock
-0.3246165276177702,rock
-0.40757740507211476,rock
-0.8361049796916686,rock
-0.5051167628298302,rock
-0.21937444133356282,rock
-0.3587312027667116,rock
-1.0491162449066531,rock
-1.0659285255086441,rock
0.08995419315198523,rock
-0.8839697198227416,rock
-0.3049256675538535,rock
-0.4088856178673239,rock
-0.15792938755531144,rock
-0.4669386295198892,rock
-0.2820565431508232,rock
-0.2520274872555576,rock
-0.41255791203126563,rock
-0.4234737663149554,rock
-0.5471267931000714,rock
-0.5105556131813656,rock
-0.6126601371728928,rock
